iter	Passed	Remaining
443	1248	1563
444	1251	1560
445	1253	1557
446	1255	1553
447	1257	1549
448	1259	1546
449	1262	1542
450	1264	1539
451	1266	1535
452	1268	1532
453	1271	1529
454	1273	1525
455	1275	1522
456	1278	1519
457	1280	1515
458	1283	1512
459	1285	1509
460	1288	1505
461	1290	1502
462	1292	1499
463	1294	1495
464	1297	1492
465	1300	1490
466	1305	1490
467	1308	1487
468	1312	1486
469	1315	1483
470	1318	1480
471	1320	1477
472	1322	1474
473	1324	1470
474	1326	1466
475	1329	1463
476	1335	1464
477	1337	1461
478	1340	1457
479	1342	1454
480	1344	1450
481	1347	1447
482	1349	1444
483	1351	1441
484	1354	1438
485	1357	1435
486	1359	1432
487	1362	1429
488	1365	1426
489	1367	1423
490	1370	1420
491	1372	1417
492	1375	1414
493	1377	1411
494	1380	1408
495	1386	1408
496	1389	1406
497	1391	1402
498	1393	1399
499	1396	1396
500	1398	1392
501	1400	1389
502	1402	1385
503	1404	1382
504	1406	1379
505	1409	1375
506	1412	1373
507	1414	1370
508	1420	1369
509	1422	1366
510	1425	1363
511	1427	1360
512	1429	1357
513	1431	1353
514	1434	1350
515	1439	1349
516	1442	1347
517	1444	1344
518	1446	1340
519	1449	1337
520	1451	1334
521	1453	1331
522	1455	1327
523	1457	1324
524	1460	1320
525	1462	1318
526	1465	1315
527	1467	1311
528	1470	1308
529	1472	1305
530	1477	1305
531	1479	1301
532	1481	1297
533	1483	1294
534	1488	1293
535	1490	1289
536	1492	1287
537	1495	1284
538	1497	1280
539	1499	1277
540	1501	1274
541	1504	1271
542	1507	1268
543	1512	1267
544	1515	1265
545	1520	1264
546	1523	1261
547	1526	1258
548	1529	1256
549	1531	1253
550	1534	1250
551	1536	1247
552	1539	1244
553	1541	1241
554	1544	1238
555	1547	1235
556	1549	1232
557	1552	1229
558	1555	1226
559	1558	1224
560	1561	1221
561	1563	1218
562	1566	1215
563	1569	1213
564	1572	1210
565	1574	1207
566	1577	1204
567	1582	1203
568	1584	1200
569	1587	1197
570	1590	1194
571	1592	1191
572	1595	1188
573	1597	1185
574	1600	1183
575	1603	1180
576	1605	1177
577	1608	1174
578	1610	1170
579	1612	1167
580	1615	1164
581	1617	1161
582	1619	1158
583	1622	1155
584	1624	1152
585	1627	1149
586	1629	1146
587	1632	1143
588	1634	1140
589	1636	1137
590	1638	1133
591	1641	1131
592	1643	1128
593	1645	1124
594	1648	1121
595	1650	1118
596	1653	1115
597	1655	1112
598	1657	1109
599	1660	1106
600	1662	1103
601	1664	1100
602	1667	1097
603	1669	1094
604	1671	1091
605	1673	1088
606	1676	1085
607	1678	1082
608	1681	1079
609	1683	1076
610	1685	1073
611	1688	1070
612	1691	1067
613	1693	1064
614	1697	1062
615	1699	1059
616	1701	1056
617	1704	1053
618	1706	1050
619	1708	1047
620	1711	1044
621	1714	1041
622	1716	1038
623	1718	1035
624	1720	1032
625	1722	1029
626	1724	1026
627	1727	1023
628	1729	1020
629	1731	1017
630	1734	1014
631	1736	1011
632	1738	1008
633	1741	1005
634	1743	1002
635	1748	1000
636	1751	998
637	1753	994
638	1755	991
639	1758	989
640	1760	986
641	1762	983
642	1765	979
643	1770	978
644	1773	975
645	1775	972
646	1777	969
647	1779	966
648	1782	964
649	1785	961
650	1788	958
651	1792	956
652	1795	954
653	1798	951
654	1801	948
655	1803	945
656	1806	943
657	1809	940
658	1811	937
659	1814	934
660	1816	931
661	1821	930
662	1823	927
663	1826	924
664	1828	921
665	1831	918
666	1833	915
667	1836	912
668	1838	909
669	1840	906
670	1843	903
671	1845	900
672	1848	897
673	1850	894
674	1852	891
675	1854	888
676	1857	886
677	1859	883
678	1861	880
679	1863	876
680	1865	873
681	1867	870
682	1869	867
683	1872	864
684	1874	862
685	1876	859
686	1878	856
687	1881	853
688	1883	850
689	1885	847
690	1887	844
691	1890	841
692	1892	838
693	1897	836
694	1899	833
695	1902	831
696	1905	828
697	1907	825
698	1912	823
699	1915	821
700	1920	819
701	1923	816
702	1926	813
703	1928	811
704	1931	808
705	1933	805
706	1935	802
707	1938	799
708	1941	796
709	1944	794
710	1946	791
711	1951	789
712	1954	786
713	1956	783
714	1961	781
715	1963	778
716	1965	775
717	1967	772
718	1969	769
719	1971	766
720	1973	763
721	1975	760
722	1978	758
723	1981	755
724	1983	752
725	1985	749
726	1988	746
727	1991	743
728	1994	741
729	1996	738
730	1999	735
731	2001	732
732	2005	730
733	2007	727
734	2009	724
735	2011	721
736	2014	718
737	2017	716
738	2020	713
739	2022	710
740	2025	707
741	2028	705
742	2030	702
743	2032	699
744	2038	697
745	2040	694
746	2045	692
747	2050	690
748	2052	687
749	2054	684
750	2056	681
751	2059	679
752	2061	676
753	2064	673
754	2066	670
755	2071	668
756	2073	665
757	2075	662
758	2078	659
759	2080	656
760	2082	654
761	2085	651
762	2087	648
763	2089	645
764	2092	642
765	2094	639
766	2096	636
767	2098	634
768	2101	631
769	2103	628
770	2105	625
771	2107	622
772	2109	619
773	2111	616
774	2113	613
775	2115	610
776	2118	608
777	2121	605
778	2124	602
779	2129	600
780	2132	598
781	2136	595
782	2138	592
783	2140	589
784	2143	586
785	2145	584
786	2148	581
787	2150	578
788	2152	575
789	2155	572
790	2157	570
791	2160	567
792	2162	564
793	2164	561
794	2166	558
795	2168	555
796	2171	552
797	2173	550
798	2178	548
799	2181	545
800	2183	542
801	2186	539
802	2188	537
803	2192	534
804	2197	532
805	2200	529
806	2202	526
807	2204	523
808	2206	521
809	2209	518
810	2211	515
811	2213	512
812	2216	509
813	2218	506
814	2220	504
815	2222	501
816	2225	498
817	2227	495
818	2229	492
819	2232	490
820	2235	487
821	2237	484
822	2242	482
823	2244	479
824	2247	476
825	2249	473
826	2251	471
827	2253	468
828	2256	465
829	2259	462
830	2262	460
831	2264	457
832	2266	454
833	2268	451
834	2274	449
835	2279	447
836	2281	444
837	2283	441
838	2286	438
839	2289	436
840	2291	433
841	2296	430
842	2298	428
843	2302	425
844	2305	422
845	2307	420
846	2310	417
847	2313	414
848	2315	411
849	2318	409
850	2320	406
851	2322	403
852	2325	400
853	2328	398
854	2330	395
855	2333	392
856	2336	389
857	2337	386
858	2340	384
859	2342	381
860	2345	378
861	2347	375
862	2349	373
863	2351	370
864	2354	367
865	2357	364
866	2359	361
867	2361	359
868	2363	356
869	2368	353
870	2373	351
871	2376	348
872	2379	346
873	2381	343
874	2384	340
875	2386	337
876	2389	335
877	2391	332
878	2393	329
879	2396	326
880	2398	323
881	2400	321
882	2403	318
883	2405	315
884	2408	312
885	2410	310
886	2412	307
887	2415	304
888	2418	302
889	2421	299
890	2423	296
891	2426	293
892	2429	291
893	2432	288
894	2434	285
895	2436	282
896	2439	280
897	2445	277
898	2447	274
899	2449	272
900	2452	269
901	2454	266
902	2457	263
903	2459	261
904	2462	258
905	2464	255
906	2469	253
907	2472	250
908	2475	247
909	2477	245
910	2479	242
911	2482	239
912	2484	236
913	2487	234
914	2489	231
915	2492	228
916	2494	225
917	2496	223
918	2500	220
919	2504	217
920	2507	215
921	2512	212
922	2515	209
923	2517	207
924	2519	204
925	2522	201
926	2524	198
927	2527	196
928	2529	193
929	2531	190
930	2534	187
931	2537	185
932	2539	182
933	2541	179
934	2544	176
935	2546	174
936	2548	171
937	2551	168
938	2556	166
939	2558	163
940	2561	160
941	2564	157
942	2566	155
943	2568	152
944	2571	149
945	2574	146
946	2576	144
947	2579	141
948	2581	138
949	2584	136
950	2587	133
951	2591	130
952	2594	127
953	2596	125
954	2601	122
955	2604	119
956	2606	117
957	2609	114
958	2612	111
959	2614	108
960	2616	106
961	2619	103
962	2621	100
963	2624	97
964	2626	95
965	2628	92
966	2630	89
967	2632	87
968	2634	84
969	2637	81
970	2639	78
971	2641	76
972	2644	73
973	2649	70
974	2651	67
975	2653	65
976	2655	62
977	2658	59
978	2660	57
979	2662	54
980	2664	51
981	2666	48
982	2668	46
983	2671	43
984	2673	40
985	2675	37
986	2677	35
987	2680	32
988	2682	29
989	2684	27
990	2687	24
991	2689	21
992	2691	18
993	2694	16
994	2696	13
995	2698	10
996	2700	8
997	2702	5
998	2705	2
999	2710	0
